商品名,価格,原価,カテゴリ番号,販売ステータス（1:販売中、0:販売中止）,サイズ,商品説明,タグ,リストへの表示（1:表示、:非表示）,販売時期（コロン区切りで1～12月。1:販売、0:休止),在庫管理（1:在庫管理する、0:在庫管理なし）,最小注文数,最大注文数,定番商品(1:定番商品、0:特別商品）,発送所要日数,販売所要日数（特別商品の場合は何日後まで販売するか）,単位,SKUコード（商品ごとに別のもの）
胡蝶蘭 白３本立ち　送料無料！即日出荷対応！,21600,8640,44,1,W50×H70,白の大輪系胡蝶蘭3本立ちです。この胡蝶蘭が当店で一番売れ行きの商品になります。スタンダードなスタイルが、どんなご用途にも最適なフラワーギフトを提供してくれます。同梱物：胡蝶蘭の管理方法,お誕生日祝い 賀寿のお祝い 叙勲祝い 引っ越し祝い 楽屋見舞い 開店祝い 上場祝い 就任祝い 退職祝い 移転祝い 周年祝い 中洲,1,1:1:1:1:1:1:1:1:1:1:1:1,2,1,9999,1,1,0,鉢,HT-70
胡蝶蘭5本立ち　即日発送　送料無料,50000,0,44,1,W80×H100,胡蝶蘭5本立ち　即日発送　送料無料の説明,開店祝い,1,1:1:1:1:1:1:1:1:1:1:1:1,1,1,9999,1,1,0,鉢,KO-001
